ID,Days,Vessel,VesselType,Year,Month,Day,Date,DayOfWeek,Latitude,Longitude,Slaves embarked,Slaves died on coast,Slaves began MP,Slaves disembarked,Slaves alive,Slave men deaths,Slave women deaths,Total slave adult deaths,Slave boy deaths,Slave girl deaths,Total slave child deaths,Slave deaths of unkown gender and age,Total slave deaths,Slave births,Archive,Document
1,1,Drie_Gezusters,Snauw (Snow-brig),1756,4,17,17560417,Saturday,5.162,-1.115,,,234,,234,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
2,2,Drie_Gezusters,Snauw (Snow-brig),1756,4,18,17560418,Sunday,4.1833,3.1,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
3,3,Drie_Gezusters,Snauw (Snow-brig),1756,4,19,17560419,Monday,4.1667,2.8,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
4,4,Drie_Gezusters,Snauw (Snow-brig),1756,4,20,17560420,Tuesday,3.8,2.8833,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
5,5,Drie_Gezusters,Snauw (Snow-brig),1756,4,21,17560421,Wednesday,3.9,2.3167,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
6,6,Drie_Gezusters,Snauw (Snow-brig),1756,4,22,17560422,Thursday,3.0667,1.7167,,,,,,,1,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
7,7,Drie_Gezusters,Snauw (Snow-brig),1756,4,23,17560423,Friday,3.4833,1.2,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
8,8,Drie_Gezusters,Snauw (Snow-brig),1756,4,24,17560424,Saturday,3.2667,0.3167,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
9,9,Drie_Gezusters,Snauw (Snow-brig),1756,4,25,17560425,Sunday,3.0833,0.0833,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
10,10,Drie_Gezusters,Snauw (Snow-brig),1756,4,26,17560426,Monday,3.0167,-0.3667,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
11,11,Drie_Gezusters,Snauw (Snow-brig),1756,4,27,17560427,Tuesday,3.0333,-0.7,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
12,12,Drie_Gezusters,Snauw (Snow-brig),1756,4,28,17560428,Wednesday,2.85,-1.6,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
13,13,Drie_Gezusters,Snauw (Snow-brig),1756,4,29,17560429,Thursday,2.8167,-1.4833,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
14,14,Drie_Gezusters,Snauw (Snow-brig),1756,4,30,17560430,Friday,2.55,-2.3833,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
15,15,Drie_Gezusters,Snauw (Snow-brig),1756,5,1,17560501,Saturday,2.1,-3.2,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
16,16,Drie_Gezusters,Snauw (Snow-brig),1756,5,2,17560502,Sunday,1.7333,-4.1,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
17,17,Drie_Gezusters,Snauw (Snow-brig),1756,5,3,17560503,Monday,1.4333,-5.1667,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
18,18,Drie_Gezusters,Snauw (Snow-brig),1756,5,4,17560504,Tuesday,0.7167,-6.8167,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
19,19,Drie_Gezusters,Snauw (Snow-brig),1756,5,5,17560505,Wednesday,0.1333,-8.1667,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
20,20,Drie_Gezusters,Snauw (Snow-brig),1756,5,6,17560506,Thursday,-0.0833,-9.15,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
21,21,Drie_Gezusters,Snauw (Snow-brig),1756,5,7,17560507,Friday,-0.5167,-10.2667,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
22,22,Drie_Gezusters,Snauw (Snow-brig),1756,5,8,17560508,Saturday,-0.95,-11.4333,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
23,23,Drie_Gezusters,Snauw (Snow-brig),1756,5,9,17560509,Sunday,-1.3167,-12.7333,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
24,24,Drie_Gezusters,Snauw (Snow-brig),1756,5,10,17560510,Monday,-1.4167,-14.0667,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
25,25,Drie_Gezusters,Snauw (Snow-brig),1756,5,11,17560511,Tuesday,-1.3333,-15.2333,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
26,26,Drie_Gezusters,Snauw (Snow-brig),1756,5,12,17560512,Wednesday,-1.3,-16.55,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
27,27,Drie_Gezusters,Snauw (Snow-brig),1756,5,13,17560513,Thursday,-1.3833,-17.6833,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
28,28,Drie_Gezusters,Snauw (Snow-brig),1756,5,14,17560514,Friday,-1.4667,-18.8667,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
29,29,Drie_Gezusters,Snauw (Snow-brig),1756,5,15,17560515,Saturday,-1.6,-20.2167,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
30,30,Drie_Gezusters,Snauw (Snow-brig),1756,5,16,17560516,Sunday,-2.7667,-21.6,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
31,31,Drie_Gezusters,Snauw (Snow-brig),1756,5,17,17560517,Monday,-1.7833,-22.7167,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
32,32,Drie_Gezusters,Snauw (Snow-brig),1756,5,18,17560518,Tuesday,-1.8833,-23.7,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
33,33,Drie_Gezusters,Snauw (Snow-brig),1756,5,19,17560519,Wednesday,-1.7167,-25.35,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
34,34,Drie_Gezusters,Snauw (Snow-brig),1756,5,20,17560520,Thursday,-1.3,-26.7833,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
35,35,Drie_Gezusters,Snauw (Snow-brig),1756,5,21,17560521,Friday,-1.1,-28.28,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
36,36,Drie_Gezusters,Snauw (Snow-brig),1756,5,22,17560522,Saturday,-0.8167,-29.77,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
37,37,Drie_Gezusters,Snauw (Snow-brig),1756,5,23,17560523,Sunday,-0.4833,-30.76,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
38,38,Drie_Gezusters,Snauw (Snow-brig),1756,5,24,17560524,Monday,-0.3667,-31.58,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
39,39,Drie_Gezusters,Snauw (Snow-brig),1756,5,25,17560525,Tuesday,0.4833,-32.78,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
40,40,Drie_Gezusters,Snauw (Snow-brig),1756,5,26,17560526,Wednesday,1,-33.31,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
41,41,Drie_Gezusters,Snauw (Snow-brig),1756,5,27,17560527,Thursday,1.6,-34.39,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
42,42,Drie_Gezusters,Snauw (Snow-brig),1756,5,28,17560528,Friday,2.1,-35.43,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
43,43,Drie_Gezusters,Snauw (Snow-brig),1756,5,29,17560529,Saturday,2.8667,-36.68,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
44,44,Drie_Gezusters,Snauw (Snow-brig),1756,5,30,17560530,Sunday,3.1667,-38.31,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
45,45,Drie_Gezusters,Snauw (Snow-brig),1756,5,31,17560531,Monday,3.3833,-39.62,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
46,46,Drie_Gezusters,Snauw (Snow-brig),1756,6,1,17560601,Tuesday,3.7667,-41.39,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
47,47,Drie_Gezusters,Snauw (Snow-brig),1756,6,2,17560602,Wednesday,3.2833,-43.12,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
48,48,Drie_Gezusters,Snauw (Snow-brig),1756,6,3,17560603,Thursday,2.9,-44.76,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
49,49,Drie_Gezusters,Snauw (Snow-brig),1756,6,4,17560604,Friday,2.8167,-46.02,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
50,50,Drie_Gezusters,Snauw (Snow-brig),1756,6,5,17560605,Saturday,2.95,-47.19,,,,,,,1,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
51,51,Drie_Gezusters,Snauw (Snow-brig),1756,6,6,17560606,Sunday,3.2667,-48.42,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
52,52,Drie_Gezusters,Snauw (Snow-brig),1756,6,7,17560607,Monday,4.0167,-49.72,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
53,53,Drie_Gezusters,Snauw (Snow-brig),1756,6,8,17560608,Tuesday,3.75,-50.53,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
54,54,Drie_Gezusters,Snauw (Snow-brig),1756,6,9,17560609,Wednesday,4.75,-50.8,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
55,55,Drie_Gezusters,Snauw (Snow-brig),1756,6,10,17560610,Thursday,4.8167,-51,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
56,56,Drie_Gezusters,Snauw (Snow-brig),1756,6,11,17560611,Friday,5.41,-52.4,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
57,57,Drie_Gezusters,Snauw (Snow-brig),1756,6,12,17560612,Saturday,5.48,-52.61,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
58,58,Drie_Gezusters,Snauw (Snow-brig),1756,6,13,17560613,Sunday,5.5695,-52.8058,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
59,59,Drie_Gezusters,Snauw (Snow-brig),1756,6,14,17560614,Monday,5.64,-52.99,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
60,60,Drie_Gezusters,Snauw (Snow-brig),1756,6,15,17560615,Tuesday,5.712,-53.18,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
61,61,Drie_Gezusters,Snauw (Snow-brig),1756,6,16,17560616,Wednesday,5.79,-53.42,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
62,62,Drie_Gezusters,Snauw (Snow-brig),1756,6,17,17560617,Thursday,5.85,-53.66,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
63,63,Drie_Gezusters,Snauw (Snow-brig),1756,6,18,17560618,Friday,5.9034,-53.9458,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
64,64,Drie_Gezusters,Snauw (Snow-brig),1756,6,19,17560619,Saturday,6.038,-54.728,,,,,,2,,2,,,,,2,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
65,65,Drie_Gezusters,Snauw (Snow-brig),1756,6,20,17560620,Sunday,5.9234,-55.1651,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_329
66,1,Eenigheid,Snauw (Snow-Brig),1764,10,29,17641029,Monday,5.0718,-1.1597,256,53,203,,203,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
67,2,Eenigheid,Snauw (Snow-Brig),1764,10,30,17641030,Tuesday,4.7,-1.6,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
68,3,Eenigheid,Snauw (Snow-Brig),1764,10,31,17641031,Wednesday,4.0833,-2.22,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
69,4,Eenigheid,Snauw (Snow-Brig),1764,11,1,17641101,Thursday,3.6333,-1.49,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
70,5,Eenigheid,Snauw (Snow-Brig),1764,11,2,17641102,Friday,3.3167,-0.76,,,,,,,,,,,,1,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
71,6,Eenigheid,Snauw (Snow-Brig),1764,11,3,17641103,Saturday,2.95,-0.29,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
72,7,Eenigheid,Snauw (Snow-Brig),1764,11,4,17641104,Sunday,2.6333,-0.78,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
73,8,Eenigheid,Snauw (Snow-Brig),1764,11,5,17641105,Monday,2.4167,-1.77,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
74,9,Eenigheid,Snauw (Snow-Brig),1764,11,6,17641106,Tuesday,2.4,-1.99,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
75,10,Eenigheid,Snauw (Snow-Brig),1764,11,7,17641107,Wednesday,2.1833,-1.83,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
76,11,Eenigheid,Snauw (Snow-Brig),1764,11,8,17641108,Thursday,2,-1.78,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
77,12,Eenigheid,Snauw (Snow-Brig),1764,11,9,17641109,Friday,1.8167,-2.58,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
78,13,Eenigheid,Snauw (Snow-Brig),1764,11,10,17641110,Saturday,1.5667,-3.64,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
79,14,Eenigheid,Snauw (Snow-Brig),1764,11,11,17641111,Sunday,1.4167,-3.62,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
80,15,Eenigheid,Snauw (Snow-Brig),1764,11,12,17641112,Monday,1.1833,-3.28,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
81,16,Eenigheid,Snauw (Snow-Brig),1764,11,13,17641113,Tuesday,1.0833,-2.58,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
82,17,Eenigheid,Snauw (Snow-Brig),1764,11,14,17641114,Wednesday,1.1,-2.27,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
83,18,Eenigheid,Snauw (Snow-Brig),1764,11,15,17641115,Thursday,0.9667,-3.22,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
84,19,Eenigheid,Snauw (Snow-Brig),1764,11,16,17641116,Friday,1.0167,-4.18,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
85,20,Eenigheid,Snauw (Snow-Brig),1764,11,17,17641117,Saturday,0.9333,-5.16,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
86,21,Eenigheid,Snauw (Snow-Brig),1764,11,18,17641118,Sunday,0.9167,-6.22,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
87,22,Eenigheid,Snauw (Snow-Brig),1764,11,19,17641119,Monday,0.7667,-6.34,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
88,23,Eenigheid,Snauw (Snow-Brig),1764,11,20,17641120,Tuesday,0.5167,-6.17,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
89,24,Eenigheid,Snauw (Snow-Brig),1764,11,21,17641121,Wednesday,0.4,-6.26,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
90,25,Eenigheid,Snauw (Snow-Brig),1764,11,22,17641122,Thursday,-0.0667,-7.31,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
91,26,Eenigheid,Snauw (Snow-Brig),1764,11,23,17641123,Friday,-0.7333,-8.65,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
92,27,Eenigheid,Snauw (Snow-Brig),1764,11,24,17641124,Saturday,-0.85,-10.04,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
93,28,Eenigheid,Snauw (Snow-Brig),1764,11,25,17641125,Sunday,-0.9167,-11.27,,,,,,,,,1,,1,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
94,29,Eenigheid,Snauw (Snow-Brig),1764,11,26,17641126,Monday,-1.0167,-12.56,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
95,30,Eenigheid,Snauw (Snow-Brig),1764,11,27,17641127,Tuesday,-1.1,-13.85,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
96,31,Eenigheid,Snauw (Snow-Brig),1764,11,28,17641128,Wednesday,-1.2,-14.9,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
97,32,Eenigheid,Snauw (Snow-Brig),1764,11,29,17641129,Thursday,-1.35,-16.37,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
98,33,Eenigheid,Snauw (Snow-Brig),1764,11,30,17641130,Friday,-1.55,-17.93,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
99,34,Eenigheid,Snauw (Snow-Brig),1764,12,1,17641201,Saturday,-1.5,-19.18,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
100,35,Eenigheid,Snauw (Snow-Brig),1764,12,2,17641202,Sunday,-1.5,-20.53,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
101,36,Eenigheid,Snauw (Snow-Brig),1764,12,3,17641203,Monday,-1.5667,-21.89,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
102,37,Eenigheid,Snauw (Snow-Brig),1764,12,4,17641204,Tuesday,-1.45,-23.47,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
103,38,Eenigheid,Snauw (Snow-Brig),1764,12,5,17641205,Wednesday,-1.3333,-25.06,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
104,39,Eenigheid,Snauw (Snow-Brig),1764,12,6,17641206,Thursday,-1.3333,-26.41,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
105,40,Eenigheid,Snauw (Snow-Brig),1764,12,7,17641207,Friday,-1.3333,-27.53,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
106,41,Eenigheid,Snauw (Snow-Brig),1764,12,8,17641208,Saturday,-1.1333,-29.39,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
107,42,Eenigheid,Snauw (Snow-Brig),1764,12,9,17641209,Sunday,-0.85,-31.14,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
108,43,Eenigheid,Snauw (Snow-Brig),1764,12,10,17641210,Monday,-0.8667,-32.7,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
109,44,Eenigheid,Snauw (Snow-Brig),1764,12,11,17641211,Tuesday,-0.9,-33.83,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
110,45,Eenigheid,Snauw (Snow-Brig),1764,12,12,17641212,Wednesday,-0.3167,-35.29,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
111,46,Eenigheid,Snauw (Snow-Brig),1764,12,13,17641213,Thursday,-0.4,-37.22,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
112,47,Eenigheid,Snauw (Snow-Brig),1764,12,14,17641214,Friday,1.0667,-39.01,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
113,48,Eenigheid,Snauw (Snow-Brig),1764,12,15,17641215,Saturday,1.7167,-40.55,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
114,49,Eenigheid,Snauw (Snow-Brig),1764,12,16,17641216,Sunday,2.25,-41.85,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
115,50,Eenigheid,Snauw (Snow-Brig),1764,12,17,17641217,Monday,3.1167,-43.27,,,,,,,2,2,,,,,2,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
116,51,Eenigheid,Snauw (Snow-Brig),1764,12,18,17641218,Tuesday,4.0667,-44.57,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
117,52,Eenigheid,Snauw (Snow-Brig),1764,12,19,17641219,Wednesday,4.3667,-46.26,,,,,,,2,2,,,,,2,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
118,53,Eenigheid,Snauw (Snow-Brig),1764,12,20,17641220,Thursday,4.35,-47.65,,,,,,,1,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
119,54,Eenigheid,Snauw (Snow-Brig),1764,12,21,17641221,Friday,4.5333,-48.7,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
120,55,Eenigheid,Snauw (Snow-Brig),1764,12,22,17641222,Saturday,4.1,-49.81,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
121,56,Eenigheid,Snauw (Snow-Brig),1764,12,23,17641223,Sunday,5.7167,-50.79,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
122,57,Eenigheid,Snauw (Snow-Brig),1764,12,24,17641224,Monday,5.65,-51.71,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
123,58,Eenigheid,Snauw (Snow-Brig),1764,12,25,17641225,Tuesday,5.65,-51.71,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
124,59,Eenigheid,Snauw (Snow-Brig),1764,12,26,17641226,Wednesday,5.9391,-55.2016,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
125,60,Eenigheid,Snauw (Snow-Brig),1764,12,27,17641227,Thursday,5.9362,-55.1617,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
126,61,Eenigheid,Snauw (Snow-Brig),1764,12,28,17641228,Friday,5.8958,-55.0942,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
127,62,Eenigheid,Snauw (Snow-Brig),1764,12,29,17641229,Saturday,5.8958,-55.0942,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_391
128,1,Geertruida_en_Christina,Frigate,1785,4,29,17850429,Friday,5.072,-1.34,,34,276,,276,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_429
129,2,Geertruida_en_Christina,Frigate,1785,4,30,17850430,Saturday,4.3833,-4.0736,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_429
130,3,Geertruida_en_Christina,Frigate,1785,5,1,17850501,Sunday,4.15,-4.48,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_429
131,4,Geertruida_en_Christina,Frigate,1785,5,2,17850502,Monday,4.55,-5.07,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_429
132,5,Geertruida_en_Christina,Frigate,1785,5,3,17850503,Tuesday,4.35,-5.72,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_429
133,6,Geertruida_en_Christina,Frigate,1785,5,4,17850504,Wednesday,4.5167,-4.86,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_429
134,7,Geertruida_en_Christina,Frigate,1785,5,5,17850505,Thursday,4.6333,-4.59,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_429
135,8,Geertruida_en_Christina,Frigate,1785,5,6,17850506,Friday,4.5,-4.3,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_429
136,9,Geertruida_en_Christina,Frigate,1785,5,7,17850507,Saturday,3.9333,-3.86,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_429
137,10,Geertruida_en_Christina,Frigate,1785,5,8,17850508,Sunday,3.4167,-3.41,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_429
138,11,Geertruida_en_Christina,Frigate,1785,5,9,17850509,Monday,3.0833,-3.4,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_429
139,12,Geertruida_en_Christina,Frigate,1785,5,10,17850510,Tuesday,2.5833,-4.18,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_429
140,13,Geertruida_en_Christina,Frigate,1785,5,11,17850511,Wednesday,2.35,-4.51,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_429
141,14,Geertruida_en_Christina,Frigate,1785,5,12,17850512,Thursday,2.2667,-4.72,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_429
142,15,Geertruida_en_Christina,Frigate,1785,5,13,17850513,Friday,2,-5.05,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_429
143,16,Geertruida_en_Christina,Frigate,1785,5,14,17850514,Saturday,1.9,-5.43,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_429
144,17,Geertruida_en_Christina,Frigate,1785,5,15,17850515,Sunday,1.6333,-5.23,,,,,,1,,1,,,,,1,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_429
145,18,Geertruida_en_Christina,Frigate,1785,5,16,17850516,Monday,1.6333,-5.74,,,,,,,,,,,,,,,"Zeeuws Archief, Middelburg, The Netherlands",MCC_429
